competition,c_id,s_id,nom_ics,nom_nettoye,suggestion,club_id_suggere,action
"D3 M 92","28787","s-3316","CSM PUTEAUX 1C","CSM PUTEAUX","CLUB SPORTIF MUNICIPAL DE PUTEAUX HANDBALL","8cd1092d-29bf-444d-ba20-e23905ed87c1","CONFIRMER_OU_CORRIGER"
"D3 M 92","28787","s-3319","STADE DE VANVES 1E","STADE DE VANVES","STADE DE VANVES HANDBALL","74f44e73-707e-4251-8755-0af57ba46425","CONFIRMER_OU_CORRIGER"
"D1 F 92","28791","s-3199","CSM FINANCES 1B","CSM FINANCES","CLUB SPORTIF DU MINISTERE DES FINANCES","5199c072-7212-45f1-9256-2e177dee8d55","CONFIRMER_OU_CORRIGER"
"D1 F 92","28791","s-3201","PARIS UC 1D","PARIS UC","Paris (75)","40a2cd64-fa4f-4bf7-ada1-bc51061db6f1","CONFIRMER_OU_CORRIGER"
"D1 F 92","28791","s-3207","STADE FRANCAIS","STADE FRANCAIS","STADE FRANCAIS HANDBALL","7c67ca25-6964-495c-8b67-a7867e9f5c31","CONFIRMER_OU_CORRIGER"
"D1 F 92","28791","s-3208","MARTIGUA SCL 1B","MARTIGUA SCL","","","A_REMPLIR"
"D1 F 92","28791","s-3209","SCUF","SCUF","","","A_REMPLIR"
"D1 F 92","28791","s-3211","PARIS SC 1C","PARIS SPORTING CLUB","PARIS UNIVERSITE CLUB","def475ad-604b-4d47-a702-b44b26fb82a6","CONFIRMER_OU_CORRIGER"
"D1 F 92","28791","s-3214","PARIS ST-GERMAIN HB","PARIS ST-GERMAIN HANDBALL","ST-GERMAIN HANDBALL","b821ae3f-43f2-41d9-b334-1314756e67d1","CONFIRMER_OU_CORRIGER"
"D1 F 92","28791","s-3302","AC BOULOGNE-BILLANCOURT 1B","ATHLETIC CLUB BOULOGNE-BILLANCOURT","ATHLETIC CLUB LA CIOTAT","aa53f308-dc4c-499b-a23b-cada58847bd5","CONFIRMER_OU_CORRIGER"
"D1 F 92","28791","s-3303","ES COLOMBIENNE 1C","ES COLOMBIENNE","ETOILE SPORTIVE COLOMBIENNE HANDBALL","2909a82a-131a-4e50-8dce-8b84b9d96c85","CONFIRMER_OU_CORRIGER"
"D1 F 92","28791","s-3304","ENT. VALLEE SUD 92 1B","ENTENTE VALLEE SUD","ENTENTE ALENCON ST GERMAIN","17395deb-4ff7-4e7d-ba4c-0f0e01db3abc","CONFIRMER_OU_CORRIGER"
"D1 F 92","28791","s-3306","COM BAGNEUX","COMITE OMNISPORTS BAGNEUX","","","A_REMPLIR"
"D1 F 92","28791","s-3307","BOIS-COLOMBES SP. 1B","BOIS-COLOMBES SPORT","BOIS-COLOMBES SPORTS HANDBALL","f854b6a6-d12a-4e57-bdba-29c429a0c849","CONFIRMER_OU_CORRIGER"
"D1 F 92","28791","s-3313","USM MALAKOFF 1C","USM MALAKOFF","UNION SPORTIVE MUNICIPALE DE MALAKOFF","76339795-72eb-45ec-b29a-3d57b291bef8","CONFIRMER_OU_CORRIGER"
"D1 F 92","28791","s-3316","CSM PUTEAUX","CSM PUTEAUX","CLUB SPORTIF MUNICIPAL DE PUTEAUX HANDBALL","8cd1092d-29bf-444d-ba20-e23905ed87c1","CONFIRMER_OU_CORRIGER"
"D1 F 92","28791","s-3318","ENT. SURESNES-NANTERRE","ENTENTE SURESNES-NANTERRE","","","A_REMPLIR"
"D1 F 92","28791","s-3320","LEVALLOIS SC","LEVALLOIS SPORTING CLUB","LEVALLOIS SPORTING CLUB HANDBALL","2511ea35-85cd-4a76-9685-b0c8e4a01e88","CONFIRMER_OU_CORRIGER"
"D1 F 92","28791","s-3321","ISSY-PARIS HAND 1D","ISSY-PARIS HAND","","","A_REMPLIR"
"Corpo M 75","29233","s-3217","BARJOTS ESSEC TEAM","BARJOTS ESSEC TEAM","","","A_REMPLIR"
"D1 M 91","28235","s-3259","MASSY ESSONNE HB 1C","MASSY ESSONNE HANDBALL","MASSY ESSONNE HB","9de124cb-5c5e-4715-bf90-066b1b644005","CONFIRMER_OU_CORRIGER"
"D1 M 91","28235","s-3261","ES MONTGERON 1B","ES MONTGERON","ES MONTGERON","8aeda668-2836-47ef-85bc-880400552391","CONFIRMER_OU_CORRIGER"
"D1 M 91","28235","s-3263","BONDOUFLE AC CE 1A","BONDOUFLE ATHLETIC CLUB CE","","","A_REMPLIR"
"D1 M 91","28235","s-3265","AS CORBEIL HB","ASSOCIATION SPORTIVE CORBEIL HANDBALL","ASSOCIATION SPORTIVE AVORD HANDBALL","ac6bd782-e539-4646-b0e6-7ff1a54b79ef","CONFIRMER_OU_CORRIGER"
"D1 M 91","28235","s-3271","HBC VAL DE SEINE 2","HANDBALL CLUB VAL DE SEINE","HBC VAL DE SEINE","adee18f6-683c-4127-b564-e9ddf55ac5e9","CONFIRMER_OU_CORRIGER"
"D1 M 91","28235","s-3275","MFGH91","MFGH91","","","A_REMPLIR"
"D1 M 91","28235","s-3276","US PALAISEAU 1C","UNION SPORTIVE PALAISEAU","US PALAISEAU","f9e188ac-00bd-4729-a5c1-a627bb02f94c","CONFIRMER_OU_CORRIGER"
"D1 M 91","28235","s-3281","TU VERRIERES 1B","TU VERRIERES","TU VERRIERES-LE-BUISSON","e521c0f1-4c2b-4ee9-8550-ff91cd97589b","CONFIRMER_OU_CORRIGER"
"D1 M 91","28235","s-3297","E ST GERMAIN LES ARPAJON/EGLY (+16) 1A","E ST GERMAIN LES ARPAJON/EGLY1A","","","A_REMPLIR"
"D2 M 91","28236","s-3264","ES BRUNOY 1B","ES BRUNOY","ES BRUNOY","3edc0867-b35a-4210-8dac-c7c8ab1b2389","CONFIRMER_OU_CORRIGER"
"D2 M 91","28236","s-3279","SAVIGNY HB 91 1C","SAVIGNY HANDBALL","SAVIGNY HB 91","4cf36ad8-5a88-436d-ace7-3aa45aae6d87","CONFIRMER_OU_CORRIGER"
"D2 M 91","28236","s-3288","HBC LIMOURS 1B","HANDBALL CLUB LIMOURS","HANDBALL CLUB CONCHOIS","384874fb-3e5f-4176-a3af-ca8b05a299c8","CONFIRMER_OU_CORRIGER"
"D2 M 91","28236","s-3294","USO ATHIS MONS 1A","USO ATHIS MONS","USO ATHIS-MONS","0daea167-4ca4-453f-96ed-ee023bc051cf","CONFIRMER_OU_CORRIGER"
"D3 M 91","28237","s-3263","BONDOUFLE AC CE 1B","BONDOUFLE ATHLETIC CLUB CE","","","A_REMPLIR"
"D3 M 91","28237","s-3267","DRAVEIL HANDBALL","DRAVEIL HANDBALL","DRAVEIL HB","64947e4d-751a-4c51-bc4e-c4f865856325","CONFIRMER_OU_CORRIGER"
"D3 M 91","28237","s-3276","US PALAISEAU 1D","UNION SPORTIVE PALAISEAU","US PALAISEAU","f9e188ac-00bd-4729-a5c1-a627bb02f94c","CONFIRMER_OU_CORRIGER"
