competition,c_id,s_id,nom_ics,nom_nettoye,suggestion,club_id_suggere,action,club_id_final
U17 Feminins 2026 2027,32352,s-2769,ENTENTE ROUEN / BIHOREL (U17),ENTENTE ROUEN / BIHOREL,,,A_REMPLIR,Entente
U17 Feminins 2026 2027,32352,s-3172,ENTENTE ROUEN / BIHOREL (U17),ENTENTE ROUEN / BIHOREL,,,A_REMPLIR,Entente
Nationale 1 Feminine 2026 2027,32608,s-2571,ENTENTE SAINTE-MAURE-TROYES HB FEMININ (N1),ENTENTE SAINTE-MAURE-TROYES HANDBALL FEMININ,,,A_REMPLIR,Entente
U17 Feminins 2026 2027,32352,s-1508,ENTENTE STADE MONTOIS / SAINT-PIERRE-DU-MONT (U17),ENTENTE STADE MONTOIS / SAINT-PIERRE-DU-MONT,,,A_REMPLIR,Entente
U18 Masculins 2026 2027,32522,s-3502,ENTENTE VIENNE CLAIN,ENTENTE VIENNE CLAIN,,,A_REMPLIR,Entente
U18 Masculins 2026 2027,32522,s-3465,ENTENTE VIENNE CLAIN,ENTENTE VIENNE CLAIN,,,A_REMPLIR,Entente
Regionale 2 Masculine,32418,s-3140,ES COLOMBIENNE,ES COLOMBIENNE,,,A_REMPLIR,Le club n'existe pas
Regionale 2 Masculine,32418,s-3303,ES COLOMBIENNE,ES COLOMBIENNE,,,A_REMPLIR,Le club n'existe pas
Proligue 2026 27,32243,s-2495,FRONTIGNAN THAU,FRONTIGNAN THAU,FRONTIGNAN THAU HANDBALL,2465a7ea-110d-46fa-8b2f-4e7ce295de10,CONFIRMER_OU_CORRIGER,2465a7ea-110d-46fa-8b2f-4e7ce295de10
Regionale 3 Masculine,32421,s-3270,GP SUD HB EVRY/CORBEIL/LISSES,GP SUD HANDBALL EVRY/CORBEIL/LISSES,,,A_REMPLIR,Entente
Regionale 3 Masculine,32421,s-3189,GP SUD HB EVRY/CORBEIL/LISSES,GP SUD HANDBALL EVRY/CORBEIL/LISSES,,,A_REMPLIR,Entente
Proligue 2026 27,32243,s-2375,GRAND BESANCON DOUBS HANDBALL,GRAND BESANCON DOUBS HANDBALL,,,A_REMPLIR,Le club n'existe pas
Nationale 1 Masculine 2026 2027,32469,s-2456,GRAND LIBOURNAIS HB (N1),GRAND LIBOURNAIS HANDBALL,DUNKERQUE HANDBALL GRAND LITTORAL,793754d0-0f9e-4e26-b5ad-81a748bc8f27,CONFIRMER_OU_CORRIGER,Le club n'existe pas
Nationale 1 Masculine 2026 2027,32469,s-1538,GRAND LIBOURNAIS HB (N1),GRAND LIBOURNAIS HANDBALL,DUNKERQUE HANDBALL GRAND LITTORAL,793754d0-0f9e-4e26-b5ad-81a748bc8f27,CONFIRMER_OU_CORRIGER,Le club n'existe pas
Nationale 2 Feminine 2026 2027,32609,s-2187,HB 07 LE TEIL,HANDBALL 07 LE TEIL,,,A_REMPLIR,Le club n'existe pas
M110 U15m Brassage Niv Haut Et Prepa Honneur,32452,s-2396,HBC FRANOIS (A),HANDBALL CLUB FRANOIS,HANDBALL CLUB CONCHOIS,384874fb-3e5f-4176-a3af-ca8b05a299c8,CONFIRMER_OU_CORRIGER,Le club n'existe pas
M120 U13m Brassage Niv Haut Et Prepa Honneur,32449,s-2396,HBC FRANOIS (A),HANDBALL CLUB FRANOIS,HANDBALL CLUB CONCHOIS,384874fb-3e5f-4176-a3af-ca8b05a299c8,CONFIRMER_OU_CORRIGER,Le club n'existe pas
